geocode;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;p509a;p509b;p513a;p513b;p514a;p514b;p515a;p515b;p516a;p516b;p517a;p517b;p518a;p518b;p519a;p519b;p520a;p520b;p525a;p525b;p526a;p526b;p527a;p527b;p528a;p528b;p529a;p529b;p530a;p530b;p531a;p531b;p532a;p532b;p533a;p533b;p534a;p534b;p535a;p535b;p536a;p536b;p537a;p537b;p540a;p540b;p541a;p541b;p542a;p542b;p543a;p543b;p544a;p544b;p545a;p545b;p547a;p547b;p552a;p552b;p553a;p553b;p554a;p554b;p555a;p555b;p556a;p556b;p557a;p557b;p559a;p559b;p560a;p560b;p561a;p561b;p562a;p562b;p563a;p563b;p564a;p564b;p565a;p565b;p566a;p566b;p567a;p567b;p568a;p568b;p569a;p569b;p570a;p570b;p571a;p571b;p573a;p573b;p574a;p574b;p575a;p575b;p577a;p577b;p579a;p579b;p580a;p580b;p581a;p581b;p582a;p582b;p584a;p584b;p585a;p585b;c04gtrhh;c05gtrhh;c06gtrhh;c07gtrhh;c08gtrhh;c11gtrhh;c12gtrhh;c13gtrhh;c14gtrhh;c17gtrhh;c18gtrhh;c19gtrhh;c20gtrhh;c02mfarm;c02ffarm;c02hfarm;c03mfarm;c03ffarm;c03hfarm;c07farm;c08farm;c19farm;c04smlf;c05smlf;c06smlf;c07smlf;c08smlf;c09smlf;c10smlf;c11smlf;c12smlf;c13smlf;c14smlf;c15smlf;c16smlf;c17smlf;c18smlf;c19smlf;c20smlf;c21smlf;c22smlf;c23smlf;c24smlf;c25smlf;c26smlf;c27smlf
45.72.04.142.074;1;637;571;66;0;178;10;46;22;0;181;6;4;30;19;52;44;18;27;248;26;73;84;206;34;603;313;324;1533;1444;6;28;0;6;243;17;0;550.43;59.21;78.59;569.81;91.05;3.35;11.2;2.06;107.66;453.3;3.22;3.43;0.1;2.1;462.15;224;22;10;356.54;1;14.18;0.93;0;0;0;0;0;1551;630;756;1270;313;0;12;0;8;0;502;2;5;0;144;0;2;0;0;0;0;0;4;2;1;2;0;5;0;0;0;0;1;4;4;0;0;0;0;0;8;126.61;275.26;345.66;3;0;0;0;0;0.01;0.4;0;1.04;0;0;0.46;0.3;0.05;0.04;0.32;0;0;0;0;0;0;0.01;0;0;0.08;0.08;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.23;0;2134;0;176;0;895;0;64;0;1133;0;697;0;725;0;45;0;3;0;23;0;18;0;25;0;1;0;286;0;2516;0;0;0.3;4195;2.81;0;0;0;0;778;0;1450;0;34;0;32;0;7;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;8;0;2;0;9;0;0;0;0;0;2;0;0;0;20;0;0;0;0;0;0;0.24;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;0;0;596;39;79;601;590;20;598;273;60;2;297;216;1;0;0;0;21;4;0;533.83;59.92;356.24;508.31;52.96;78.48;533.83;59.92;1.85;9.38;1.45;72.6;453.01;3;3.02;0.1;2.1;461.23;356.24;1;13.74;0.43;0;0;0;0;0
45.72.04.142.083;1;233;231;2;0;90;0;13;3;0;60;0;4;9;16;14;11;13;0;182;1;34;16;0;23;210;35;198;607;538;3;3;0;0;181;0;0;175.48;1.9;2.98;176.56;35.2;3.1;5.2;5.7;49.2;102.21;13.52;8.58;1.6;1.45;127.36;130;9;0;67.91;0;8.58;0;0;0;0;0;0;593;0;576;70;10;0;0;0;0;0;298;0;0;0;59;0;5;0;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.25;90.25;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.16;1722;0.59;171;2.8;840;0.1;14;0.1;60;0.26;170;0;11;0;1;0;2;0;6;0.02;10;0;1;0;1;0;10;0.05;19;0;0;0.99;492;0.1;0;0;11;1.26;742;0.44;305;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;4;3;233;230;74;232;138;111;2;139;135;0;0;0;0;8;0;0;170.76;29.4;67.91;169.68;1.9;2.98;170.76;29.4;3.1;5.2;5.7;43.4;102.21;13.52;8.58;1.6;1.45;127.36;67.91;0;8.58;0;0;0;0;0;0
45.72.04.142.116;1;239;231;8;0;57;7;5;2;4;71;5;9;21;17;19;18;3;1;162;0;15;17;45;13;226;127;112;636;608;0;2;0;0;184;28;0;270.05;53.2;37;253.85;36.24;0.01;0.85;0.54;37.64;198.79;2.98;14.39;0.05;0;216.21;113;17;2;168.31;0;14.54;0.7;2.26;0;0;0;0;682;0;630;1370;139;0;0;0;11;0;324;0;0;0;119;0;27;0;0;0;0;0;3;2;6;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;98.06;193.25;1.2;0;0;0;0;0.56;0.15;0.23;0;0;0;0.04;0;0.01;0;0;0;0;0;0;0;0;0.22;0;0;0;0;0;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.55;0;667;0;68;0;424;0;33;0;140;0;283;0;39;0;16;0;5;0;17;0;33;0;5;0;3;0;210;0;78;0;0;0;2129;1.5;0;0;18;0;184;0;390;0;2;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;65;52;235;234;9;234;134;60;0;155;122;0;0;0;0;19;5;0;243.09;26.27;168.31;248.04;41.95;37;243.09;26.27;0.01;0.85;0.44;27.57;198.69;2.79;13.99;0.05;0;215.52;168.31;0;14.14;0.7;2.26;0;0;0;0
45.72.04.142.118;1;195;179;16;0;57;2;5;6;29;27;2;4;12;13;21;10;7;0;101;7;41;2;44;1;194;74;121;479;467;0;2;0;0;88;4;0;168.74;25;59.45;203.19;26.29;0.77;0.26;0.2;27.52;167.59;0.3;6.28;0.3;1.2;175.67;111;7;2;124.49;0;6.3;0;0.1;0;0;0;0;589;0;480;310;58;0;18;0;0;0;196;0;0;0;133;0;0;0;0;0;0;0;1;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;12;8;0;26.13;149.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;2.55;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38;0;375;0;675;0;191;0;13;0;90;0;153;0;34;0;11;0;0;0;12;0;20;0;1;0;7;0;80;0;36;0;0;0;1346;0.2;0;0;39;0.1;169;0;219;0;3;0;11;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;28;40;158;156;1;158;119;7;4;126;109;0;0;0;0;4;0;0;196.66;20.47;124.45;153.26;16.05;59.45;196.66;20.47;0.76;0.21;0.2;21.64;167.55;0.3;5.67;0.3;1.2;175.02;124.45;0;5.69;0;0.1;0;0;0;0
45.72.04.142.258;1;277;245;32;0;131;1;6;1;2;59;2;0;20;4;35;13;1;2;218;0;23;4;32;10;267;192;85;715;711;0;1;11;0;253;0;0;264.76;68.26;22.98;219.48;41.77;0.27;2.63;1.48;46.15;167.11;2.19;2.28;0.66;1.09;173.33;127;8;1;66.8;0.3;2.29;0;0;0;0;0;0;757;0;872;0;57;0;0;0;0;0;343;1;0;0;148;0;0;0;0;0;0;0;3;4;0;2;2;1;0;0;0;1;0;1;0;9;0;0;0;11;58;21.45;61.77;104.83;0;0;0;0;0;0.03;0.45;0;0.18;0;0;0.25;0.22;0.36;0.81;0.81;0;0;0;0;0;0;0.74;0.6;0;0.19;0.77;0;0;2.54;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.09;0;616;0;122;0;408;0;19;0;190;0;231;0;53;0;12;0;7;0;4;0;4;0;2;0;4;0;181;0;85;0;0;0;1341;0;0;0;11;0;338;0.5;289;0;13;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;70;44;274;273;18;273;165;28;24;165;55;1;0;0;0;11;0;0;202.51;25.21;66.8;225.39;45.65;22.77;202.51;25.21;0.27;2.63;1.48;29.59;166.75;2.19;2.23;0.66;1.09;172.92;66.8;0.3;2.24;0;0;0;0;0;0
45.72.04.142.338;1;301;292;9;0;49;9;21;8;19;70;6;2;36;5;40;23;13;0;140;2;39;73;47;22;279;84;217;816;827;0;2;1;0;159;0;0;332.71;45.61;44.08;331.18;44.06;2.32;2.91;3.88;53.17;245.21;3.68;26.48;0.22;2.42;278.01;159;13;2;172.87;0.02;28.39;16.9;0.6;0.15;0;0;0;1304;1590;1256;1930;165;0;0;0;2;0;360;0;1;0;191;3;0;0;0;0;0;0;9;2;1;2;2;4;0;0;0;4;1;2;0;0;1;0;0;9;34;4.78;132.11;212.34;0.25;0.11;0;0;0;1.23;0.54;0.3;0.03;0.6;0.11;7.01;0.21;0;0.15;0.18;0;0;0.09;0.05;0;0;0.88;0;0;0.3;0.42;0;0;13.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.61;0.25;973;0.01;172;0.02;560;0;49;0.01;324;0.01;279;0.01;117;0;26;0;8;0;15;0;23;0;14;0;4;0;166;0;41;0;0;0.04;1974;1.52;0;0.01;25;0.1;273;0.24;497;0;35;0.01;20;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;7.08;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;4;0;2;0;0;0;3;0;0;293;61;56;293;293;31;293;187;95;45;204;148;2;0;0;0;20;0;0;317.78;32.4;172.87;317.26;43.16;43.68;317.78;32.4;2.18;2.89;3.87;41.34;244.93;3.53;25.37;0.22;2.39;276.44;172.87;0.02;27.28;16.9;0.6;0.15;0;0;0
45.72.04.142.409;1;89;84;5;0;54;1;8;0;0;15;1;0;3;2;5;0;0;0;86;0;0;2;1;10;79;35;54;292;257;3;5;2;0;6;0;0;62.26;6;7;63.26;12.16;0.25;0.8;0.8;14.01;46.68;1.02;0.7;0.35;0.5;49.25;38;3;0;33.2;0.01;0.7;0;0;0;0;0;0;221;0;227;0;6;0;0;0;0;0;149;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.06;45.4;0;0;0;0;0;0.03;0.02;0;0.01;0;0;0;0.04;0;0.13;0.01;0;0;0;0;0;0;0.05;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.01;80;0;12;0.01;49;0;3;0.1;61;0;18;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;32;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;11;17;87;87;10;87;46;8;6;46;34;1;0;0;0;0;0;0;59.09;8.04;33.2;58.09;6;7;59.09;8.04;0.25;0.8;0.8;9.89;46.63;1.02;0.7;0.35;0.5;49.2;33.2;0.01;0.7;0;0;0;0;0;0
45.72.04.142.414;1;200;183;17;0;69;0;5;0;0;56;3;6;8;19;17;8;3;6;178;0;10;2;10;143;57;110;90;523;512;0;34;22;0;319;349;0;237.55;7.23;12.33;242.65;28.73;0.05;0.15;0.15;29.08;190.39;7.15;15.78;0.2;0.05;213.57;122;17;2;160.61;0;15.78;8.92;0;0;0;0;0;283;0;282;360;3;0;0;0;0;0;259;0;0;0;84;0;0;0;0;0;0;0;2;1;1;1;2;3;0;0;0;0;0;3;0;0;0;0;0;9;4;56.51;20.28;125.62;0;0;0;0;0;0.05;0.12;0;0;0;0;0;0.03;0;0;0.02;0;0;0.03;0;0;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3;0.3;585;0;60;0;294;0;24;0;82;0;224;0;38;0;7;0;2;0;19;0;8;0;4;0;1;0;53;0;35;0;0;0;1638;3.36;0;0;5;0;443;0;441;0;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;10;15;192;185;2;185;139;114;1;159;134;0;3;2;0;47;45;0;237;23.7;160.61;231.72;7.05;12.33;237;23.7;0.05;0.15;0.1;24;190.37;6.72;15.66;0.2;0.05;213;160.61;0;15.66;8.92;0;0;0;0;0
45.72.04.142.494;1;40;38;2;0;22;0;0;0;2;4;0;3;2;3;4;0;0;0;35;4;1;0;0;8;32;1;39;91;87;0;0;0;0;29;0;0;30.23;8.9;8.8;30.13;4.71;0;0.15;0;4.86;25.22;0.05;0;0;0;25.27;20;0;0;15.25;0;0;0;0;0;0;0;0;113;0;108;0;2;0;0;0;0;0;66;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;10;0;10.35;19.75;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;12;0;35;0;5;0;22;0;19;0;8;0;1;0;0;0;2;0;1;0;0;0;0;0;8;0;4;0;0;0;94;0;0;0;0;0;31;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;11;12;36;36;0;36;20;1;0;20;20;0;0;0;0;0;0;0;28.93;3.56;15.25;28.23;8.1;8.8;28.93;3.56;0;0.1;0;3.66;25.22;0.05;0;0;0;25.27;15.25;0;0;0;0;0;0;0;0
45.72.04.142.501;1;200;198;2;0;41;61;9;2;1;25;0;4;20;7;22;6;1;1;176;1;16;4;3;19;181;18;182;502;470;0;1;0;0;189;2;0;189.79;51;23.45;162.24;36.53;0.6;5.4;2.9;45.43;104.02;4.1;6.41;1;1.28;116.81;124;2;0;51.17;0;6.41;0;0;0;0;0;0;471;0;326;0;70;0;0;0;0;0;276;0;0;0;128;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;8;32;0;42.91;77.61;0.1;0;0;0;0;0.35;0;0.1;0;0;0;0;0.07;0;0;0.1;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.04;0;535;0;53;0;260;0;13;0;93;0;182;0;42;0;3;0;10;0;6;0;4;0;1;0;0;0;54;0;22;0;0;0;744;3.03;0;0;0;0;135;0;132;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;65;45;199;199;24;199;126;47;10;135;117;0;0;0;0;5;0;0;154.5;28.85;51.17;179.45;48.1;23.15;154.5;28.85;0.6;5.4;2.9;37.75;104.02;4.04;6.41;1;1.28;116.75;51.17;0;6.41;0;0;0;0;0;0
