lpad;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;pnl509;pnn509;pnl513;pnn513;pnl514;pnn514;pnl515;pnn515;pnl516;pnn516;pnl517;pnn517;pnl518;pnn518;pnl519;pnn519;pnl520;pnn520;pnl525;pnn525;pnl526;pnn526;pnl527;pnn527;pnl528;pnn528;pnl529;pnn529;pnl530;pnn530;pnl531;pnn531;pnl532;pnn532;pnl533;pnn533;pnl534;pnn534;pnl535;pnn535;pnl536;pnn536;pnl537;pnn537;pnl540;pnn540;pnl541;pnn541;pnl542;pnn542;pnl543;pnn543;pnl544;pnn544;pnl545;pnn545;pnl547;pnn547;pnl552;pnn552;pnl553;pnn553;pnl554;pnn554;pnl555;pnn555;pnl556;pnn556;pnl557;pnn557;pnl559;pnn559;pnl560;pnn560;pnl561;pnn561;pnl562;pnn562;pnl563;pnn563;pnl564;pnn564;pnl565;pnn565;pnl566;pnn566;pnl567;pnn567;pnl568;pnn568;pnl569;pnn569;pnl570;pnn570;pnl571;pnn571;pnl573;pnn573;pnl574;pnn574;pnl575;pnn575;pnl577;pnn577;pnl579;pnn579;pnl580;pnn580;pnl581;pnn581;pnl582;pnn582;pnl584;pnn584;pnl585;pnn585
20.46.43.142.073;1;1413;1295;118;0;361;3;72;96;65;192;55;90;159;79;173;51;17;0;927;10;76;177;223;2;1411;411;1002;3168;3078;0;71;49;0;1491;1346;0;1979.19;177;106.56;1908.75;107.59;4.22;10.73;3.3;125.84;846.39;919.52;10.6;1;5.4;1782.91;811;194;13;471.9;0;5.7;0;0;0;0;0;2;5777;4348;291;192;75;0;8;0;7;0;1040;39;63;0;669;42;33;0;240;0;2;0;4;49;38;5;1;67;4;2;2530;2;56;16;3;207;2;0;0;6;336;18;598.95;519.44;0.4;7.73;0.22;0;0.22;17.82;25.23;4.55;9.65;5.64;1.67;6.21;13.01;5.7;8.02;2.55;0.63;0.93;0.11;0;6.46;36.76;6.17;0;0.4;78.93;5.43;0.23;9.26;0.1;2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;87.91;14099;3.44;350;32.41;5704;58.01;9294;7.49;1039;18.47;3599;4.3;531;1.7;182;0.28;41;0.02;2;4.34;461;0.57;362;1.69;117;4.16;698;5.64;733;28.48;0;14.89;3912;123.46;0;2.3;333;0.08;8;18.79;6531;439.06;198429;4.14;1083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.113;1;91;84;7;0;59;2;8;10;4;2;1;0;4;0;1;0;0;0;91;0;0;0;0;1;90;0;91;228;208;0;9;2;0;130;112;0;766.58;6;12.9;773.48;15.9;1.48;66;2.4;85.78;247.9;437.2;1.3;0;1.3;687.7;19;33;37;0;0;0;0;0;0;0;0;0;958;230;12;0;0;0;0;0;0;0;34;0;0;0;65;12;0;0;31;0;0;0;0;0;1;0;0;0;0;0;385;0;0;0;0;0;0;0;0;0;8;65.5;7.1;0;0.1;1.1;0;0;0;0.3;5.2;0.3;3;0.05;0.7;0.55;3.35;0.95;4;1.25;0;0;0.06;0;11.01;85.5;4.86;0;0;32.2;2.25;0;1.4;0.1;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;4.12;343;0.55;37;2.85;130;7.55;773;0.1;12;0.9;85;0;0;0.05;6;0;0;0;0;0.15;10;0;0;0;0;0.2;22;0.7;47;5.3;0;2.8;32;84.94;0;7.1;564;0;0;0;0;278.84;74570;0.7;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.152;1;88;86;2;0;26;2;12;10;6;19;0;0;9;2;2;0;0;0;79;0;4;4;1;1;87;14;74;191;179;0;0;0;0;120;102;0;425.42;4.2;9.02;430.24;5.42;1.29;4.88;41.8;53.39;64.23;308.42;1.7;0;2.5;376.85;34;41;13;1.6;0;0;0;0;0;0;0;0;703;400;13;0;0;0;0;0;4;0;31;0;0;0;37;0;2;0;44;0;3;0;0;3;12;0;1;0;0;0;152;0;2;0;0;29;1;0;0;0;14;8.19;35.15;11.28;0;0.7;0;0;0;0.36;1.54;0.21;0.77;0.06;0.23;0.32;0.92;0.06;0.52;0.55;0;0;0;0;0.95;5.59;1.04;0;0.22;3.34;0.56;0;0.25;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.55;250;0.25;23;2.55;249;1.44;139;0.28;41;1.12;110;0.08;5;0.01;2;0.01;2;0;0;0.28;24;0;0;0.05;5;0.08;10;0.78;75;8.3;0;0.33;24;73.72;2318;2.55;263;0;0;1.19;1014;210.53;68266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.153;1;233;222;11;0;96;7;21;32;19;17;10;11;8;7;4;0;1;0;219;0;1;9;4;0;233;79;154;548;529;0;28;34;0;351;302;0;1032.43;1.7;21.91;1052.64;25.74;1.11;17.91;3.3;48.06;329.15;668.63;0.6;2.1;4.1;1004.58;96;109;27;1.1;0;0;0;0;0;0;0;0;2169;1800;70;101;69;0;0;0;0;0;171;0;16;0;253;37;3;0;91;0;1;0;0;9;7;0;2;0;1;0;422;0;16;1;0;37;0;0;0;0;33;19;156.7;8.7;1;6.55;0;0;0.05;1.63;6.45;0;5.18;0.11;0.09;4.75;6.2;4.53;7.18;3.18;0;0;0;0;7;55.95;2.29;0;0.05;31.86;2.34;0;4.89;1.1;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.71;2785;2.52;325;17.31;1720;17.6;1855;2.52;409;8.77;1167;1.26;154;0.31;54;0.11;95;0.03;5;2.61;336;0.19;35;1.69;68;2.18;402;3.36;327;8.32;0;6.78;1016;60.15;5486;3.38;326;0;0;1.81;650;498.65;140576;0.14;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.155;1;273;267;6;0;85;17;33;26;26;34;7;11;13;7;13;0;1;0;268;3;2;0;0;2;271;47;226;669;558;0;1;1;0;294;264;0;1004.97;16.3;22.3;1010.97;23.53;0.06;83.92;2.1;109.61;245.9;632.26;4.6;0;18.6;901.36;136;102;24;56.8;0;0;0;0;0;0;0;0.3;1180;450;119;45;2;0;0;0;0;0;184;0;28;0;204;0;43;0;23;0;5;0;0;6;4;0;0;0;4;0;681;0;17;1;0;0;0;0;0;0;11;134.47;28.55;2.5;0;2.82;0;0;0.01;11.09;16.63;4.82;1.25;1.63;0.42;6.64;2.16;0;0.42;1.04;3.35;1.45;0.4;0.2;4.79;38.39;11.06;0;0;17;0.96;0;0.16;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.71;2057;0.03;2;6.16;469;13.07;1737;0.36;50;11.69;1288;0.05;2;0;0;0;0;0.01;0;1.5;266;0;0;0;0;0.71;569;0.06;5;3.05;0;0.35;50;19.08;0;0;0;0;0;0.5;899;643.4;190485;2.65;1299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.372;1;224;214;10;0;37;4;13;36;21;48;5;12;25;12;6;2;3;0;211;0;5;8;0;1;223;147;77;507;488;0;0;0;0;243;190;0;879.17;18.4;30.2;890.97;23.9;2.55;18.6;2.5;47.55;290.2;550.52;1.3;1.4;0;843.42;65;138;13;4.9;0;0.3;0;0;0;0;0;0;1393;0;92;218;19;0;0;0;0;0;116;0;66;9;242;65;71;0;78;0;3;7;0;7;3;0;0;0;0;0;0;11;0;25;0;0;0;0;0;0;48;10.05;100.7;80.21;0;0.1;0;0;0;2.47;4.52;1.49;2.67;0.62;0;1.21;1.29;0.15;1.97;1.88;0;0;0;0;0.73;51.37;2.26;0;0.15;64.04;5.77;0.01;9.17;0.4;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.19;4259;1.59;69;7.19;617;19.15;2880;0.17;21;1.83;123;0.46;29;0.01;0;0.02;1;0;1;2.21;210;0;0;0.04;2;0.34;29;0.68;59;9.39;0;0.2;38;101.94;0;0.83;82;2.1;510;1;100;377.22;196361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.411;1;99;99;0;0;56;3;7;8;5;9;4;3;2;1;1;0;0;0;99;0;0;0;0;1;98;52;47;254;266;0;0;0;0;140;133;0;107.5;0;0;107.5;8.45;0;0;3.7;12.15;44.32;49.03;2;0;0;95.35;82;12;0;0;0;0;0;0;0;0;0;0;844;0;38;0;0;0;0;0;0;0;157;12;0;0;142;28;0;0;0;0;1;0;0;1;2;0;0;0;0;0;349;4;0;0;0;0;0;0;0;0;24;22.25;16.95;0;0;0.29;0;1;0;7.08;7.43;0.68;0.32;0.99;0;0.56;4.87;0.18;0.22;0.3;0.05;0.5;0.05;0;1.7;11.6;4.6;0;0;0;0.31;0.4;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.19;1037;0.77;108;0.35;48;3.88;408;0;0;0.81;146;0;0;0;0;0;0;0;0;0.05;6;0;0;0;0;0;0;0.08;10;0.8;0;0.2;44;0;0;0.2;25;0;0;0;0;34.72;32042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.522;1;617;530;87;0;181;24;32;29;12;113;34;23;72;24;51;18;3;1;478;4;10;7;118;54;563;227;390;1365;1266;2;125;71;0;810;757;0;1719.01;58.2;96.2;1757.01;71.15;1.37;190.21;2.7;265.43;470.01;1009.07;1.2;0.9;10.4;1491.58;361;130;47;341.7;0;0.3;0;1.1;0;0;0;0.4;3977;965;345;123;20;0;0;50;6;0;664;0;68;21;403;11;17;0;225;0;4;0;0;36;23;8;10;16;16;0;949;10;41;12;0;296;59;0;0;153;247;65.37;148.29;149.15;1.3;5.22;0.66;0;0.27;31.53;29.99;1.73;3.89;2.2;0.25;10.4;9.45;1.16;5.9;2.43;1.54;1.4;0.1;0;6.09;50.4;8.64;0;0.4;16.35;0.7;2.12;0.49;0.4;1.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01;70.02;8741;6.3;498;18.34;2498;88.16;8448;2.64;344;11.65;736;0.37;45;0.62;764;0.3;18;0.02;3;4.93;916;0.04;2;0.71;34;4.03;331;2.07;132;15.5;0;10.67;1222;144.73;2997;0.74;64;0;1;37.54;9042;616.66;228178;1.28;1016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.142.705;1;64;53;11;0;42;2;9;4;2;2;2;0;1;0;0;0;0;0;64;0;0;0;0;0;64;9;55;172;155;0;46;48;0;123;100;0;170.14;0;0.6;170.74;6.28;14.2;1.88;0.3;22.66;38.28;109.8;0;0;0;148.08;44;19;1;0.4;0;0;0;0;0;0;0;0;624;0;0;0;0;0;0;0;0;0;69;0;0;0;55;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;7;0;0;0;0;0;0;0;0;21.45;0.6;2.2;0;0.44;0;0;0;0;2.59;0;0;0.05;0;0.83;0.07;0.02;0.54;1.35;0;0;0;0;2.35;5.75;1.62;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.35;1577;0;0;2.92;316;1.8;276;0;0;1.61;180;0;0;0;0;0;0;0;0;0.3;28;0;0;0;0;0;0;0;0;0.1;0;0.6;0;4.95;0;0;0;0;0;0;0;92.33;19813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.43.151.076;3;3414;3132;283;0;652;88;226;152;109;549;116;116;363;210;484;197;117;36;1037;131;466;826;955;48;3367;732;2683;7903;7741;2;33;22;0;1252;954;0;3769.42;451;424.7;3743.12;219.78;29.05;160.31;49.3;458.44;1101.96;2109.42;40.9;19;13.4;3284.68;1757;299;59;190.5;0;24.4;6.3;4.4;0.1;0;0;0.22;10383;8460;1174;719;1078;0;42;0;82;130;2128;7799;142;9;1389;47;78;58;431;16;18;0;0;23;31;5;38;34;2;0;1;1;5;9;3;70;4;0;0;26;321;134.11;669.16;261.74;0.93;12.18;0.19;0.21;1.13;38.94;67.44;15.34;30.74;16.61;3.73;18.63;12.86;15.54;45.06;42.67;7.31;8.35;3.8;5.82;7.19;36.75;20.55;0;3.69;178.14;59.99;2.71;23.35;1.45;3.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01;217.61;37923;29.19;2430;62.65;9926;81.38;18351;16.69;2480;37.51;7466;8.57;1101;14.06;558;8.03;264;1;139;5.56;764;1.05;273;4.95;904;14;3553;9.18;1878;6.41;0;45.88;11543;107.28;12961;12.07;2225;2.55;516;25.36;7270;1321.22;391566;7.84;4548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
