geo,zl,up,un,mz,rmo,hh_sno,sex,sex2,sex3,edu,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu9,edu10,edu12,edu15,edu18,occ,occ2,occ3,occ4,occ5,hh_f,hh_f2,hh_a,hh_a2,c01m,c01f,c01h,c02m,c02f,c02h,c03m,c03f,c03h,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,sf,mf,lf,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28h,c28f,c29h,c29f,c30h,c30f,c31h,c31f,c32h,c32f,c33h,c33f,c34h,c34f,c35h,c35f,c36h,c36f,c37h,c37f,c38h,c38f,c39,c40,c41a,c41b,c42a,c42b,c43a,c43b,c44a,c44b,c45a,c45b,c45c,c46a,c46b,c47a,c47b,c48,c49,t101,t102,t103,t104,t105,t112,t113,t114,t121,t122,t123,t124,t125,t127,t128,t129,t130,t131,t132,t134,t135,t157,t158,t159,t160,t161,t167,t169,t175,t176,t177,t179,t182,t185,t106,t107,t108,t109,t110,t111,t115,t116,t117,t118,t119,t120,t126,t133,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t162,t163,t164,t165,t166,t168,t170,t171,t172,t173,t174,t178,t180,t181,t183,t184,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,p501a,p501b,p502a,p502b,p503a,p503b,p504a,p504b,p505a,p505b,p506a,p506b,p507a,p507b,p508a,p508b,p510a,p510b,p511a,p511b,p512a,p512b,p521a,p521b,p522a,p522b,p523a,p523b,p524a,p524b,p538a,p538b,p539a,p539b,p546a,p546b,p548a,p548b,p549a,p549b,p550a,p550b,p551a,p551b,p572a,p572b,pnl509,pnn509,pnl513,pnn513,pnl514,pnn514,pnl515,pnn515,pnl516,pnn516,pnl517,pnn517,pnl518,pnn518,pnl519,pnn519,pnl520,pnn520,pnl525,pnn525,pnl526,pnn526,pnl527,pnn527,pnl528,pnn528,pnl529,pnn529,pnl530,pnn530,pnl531,pnn531,pnl532,pnn532,pnl533,pnn533,pnl534,pnn534,pnl535,pnn535,pnl536,pnn536,pnl537,pnn537,pnl540,pnn540,pnl541,pnn541,pnl542,pnn542,pnl543,pnn543,pnl544,pnn544,pnl545,pnn545,pnl547,pnn547,pnl552,pnn552,pnl553,pnn553,pnl554,pnn554,pnl555,pnn555,pnl556,pnn556,pnl557,pnn557,pnl559,pnn559,pnl560,pnn560,pnl561,pnn561,pnl562,pnn562,pnl563,pnn563,pnl564,pnn564,pnl565,pnn565,pnl566,pnn566,pnl567,pnn567,pnl568,pnn568,pnl569,pnn569,pnl570,pnn570,pnl571,pnn571,pnl573,pnn573,pnl574,pnn574,pnl575,pnn575,pnl577,pnn577,pnl579,pnn579,pnl580,pnn580,pnl581,pnn581,pnl582,pnn582,pnl584,pnn584,pnl585,pnn585
85.03.001.705,85,03,001,705,2,796,772,25,0,250,3,7,9,9,143,18,10,103,19,83,97,18,28,110,29,123,255,279,2,794,67,729,1710,1721,0,4,1,0,8,0,0,561.98,172.18,23.8,413.6,34.99,0.99,2.96,4.26,43.2,328.24,33.96,2.84,0.1,5.26,370.4,0.24,143.52,226.64,313.28,0,2.84,0,0,0,0,0,0,1695,0,184,0,247,0,18,0,19,0,602,39,4,0,284,0,11,0,1,0,0,0,0,7,22,19,2,3,0,1,0,0,0,6,0,0,0,0,0,1,2,47.2,236.52,196.61,1.1,80.44,1,0,0.45,32.77,0.47,0,0,0.04,0.18,0,0.12,0.18,0,0,0,0,0.03,0.02,0.06,0.19,1.24,7.15,0,0,0,0,0,2.76,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.05,4018,1.5,106,0.08,269,5.95,673,0.1,129,0,69,0.53,112,0,22,0,0,0,0,0,3,0,2,0,2,0.02,34,0,30,1,0,0.01,151,0.86,0,0,0,0.45,250,0.49,103,0,0,0.01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.002.072,85,03,002,072,2,497,468,29,0,68,3,7,3,3,74,7,9,34,26,89,90,57,28,19,5,99,235,139,6,491,8,489,1081,1072,0,4,2,0,3,0,0,844.26,453.31,21.06,412.01,30.66,42.42,5.45,10.21,88.74,234.12,70.44,14.83,0.99,2.89,323.27,0.14,72.16,245.97,154.13,0,14.85,3.4,0,0,0,0,0,594,0,157,0,104,0,0,0,7,300,255,2,3,0,208,0,10,81,0,0,0,0,0,3,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21.39,57.83,162.47,2.6,31.53,0,0,0,26.92,1.4,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.5,0.05,0.7,0,1,0,0,0,7.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,50.56,8663,3.01,551,2.26,486,11.13,1344,0,64,0,122,0.35,91,0,8,0,6,0,2,0,13,0,4,0,3,0,24,0,13,0.01,0,0.02,653,0.24,0,0,1,0,2,0.23,197,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.002.705,85,03,002,705,2,138,127,11,0,15,2,6,4,0,34,0,4,9,4,11,38,10,1,8,7,33,13,77,0,138,8,130,284,296,0,1,2,0,0,0,0,103.63,43.54,2.38,62.47,6.28,1.51,0.25,0.38,8.42,44.58,2.1,2.78,4.04,0.55,54.05,0.16,21.62,32.27,26.01,0,2.78,0,0,0,0,0,0,141,0,36,0,99,170,0,0,19,0,70,50,0,0,59,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,4.27,23.13,0,10.73,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.05,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,741,0,11,0.23,125,0.58,240,0,18,0,28,0.25,106,0,2,0,5,0,1,0,0,0,2,0,1,0,14,0,3,0,0,0,19,0.07,0,0,2,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.003.072,85,03,003,072,2,653,610,42,0,175,2,35,20,11,70,9,13,56,39,60,64,68,32,132,8,100,195,217,2,650,60,592,1355,1372,4,2,3,0,7,0,4,682.4,337.6,71.09,415.89,44.51,22.45,8.67,6.32,81.95,267.74,50.51,13.39,0.38,1.92,333.94,0.27,175.5,150.67,257.85,0,13.39,3.12,0,0,0,0,0,1221,0,401,400,355,0,2,0,7,0,517,0,0,0,435,0,24,0,0,0,0,0,3,4,1,6,1,11,0,0,0,0,0,0,0,0,13,0,0,0,11,0,91.55,191.73,9.3,79.89,0.9,0.16,0.93,91.39,0.75,0.11,0,0.5,0.32,0.24,0,0.18,0,0.49,3.27,2.13,0.04,0,0,1.69,2.02,2.94,0,1.91,1.1,0,0,3.33,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,2907,0.67,127,0,548,1.58,752,0,186,0,257,0,25,0,18,0,7,0,5,0,22,0,10,0,103,0.56,1489,0,91,0,0,0.52,2321,3.94,0,0,2,0,0,0.54,339,0,7,0,131,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
85.03.004.072,85,03,004,072,2,202,190,12,0,51,0,1,6,5,29,3,6,18,8,20,21,26,8,18,0,39,122,23,1,201,13,189,443,456,0,0,0,0,1,0,0,137.07,29.22,7.65,115.5,8.83,2.41,1.76,0.52,13.52,91.7,8.64,0.51,0,1.13,101.98,0.03,38.47,60.98,93.07,0,0.51,0,0,0,0,0,0,402,0,141,0,141,0,0,0,4,0,105,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.11,81.46,0,0.2,2.35,0,0,0.25,3,0.63,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0,0,0,0.19,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,551,0,11,0.02,76,1.45,148,0.02,54,0,19,0,7,0,0,0,1,0,1,0,3,0,2,0,0,0,13,0,9,0,0,0.23,89,1.48,0,0,0,0,0,0.12,8,0.12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.004.368,85,03,004,368,2,248,230,18,0,64,2,11,6,5,24,2,4,22,4,34,18,16,36,55,27,69,93,4,2,246,66,182,502,510,0,0,0,0,70,2,0,191.46,70.1,30.48,151.84,20.33,3.43,3.12,5.46,32.34,56.02,29.18,21.45,0.1,12.75,119.5,0,74.05,45.45,24.74,0,22,0.1,0,0,0,0,0,525,0,195,0,39,0,0,0,2,0,231,113,0,0,106,0,1,0,18,6,0,0,2,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,35.07,45.61,38.49,16.27,23.36,0.2,0.9,0,7.3,0,0,0,0,0,0.1,0,0.1,0,0.05,0,0,0.27,0.3,0,11.17,1.8,4.02,0,5.48,0,0,0,15.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,4491,0,887,0.04,1062,0,924,0,394,0.02,223,0,66,0,3,0,21,0,21,0,7,0,14,0,3,0,73,0,43,0,0,0.13,1373,3.31,0,0,6,0,0,0.15,545,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.004.705,85,03,004,705,2,79,72,7,0,5,0,0,1,0,6,1,2,7,6,18,17,13,4,5,0,11,50,13,0,79,0,79,196,197,0,0,0,0,0,0,0,104.72,72.7,0.15,32.17,3.99,0.14,0,0.95,5.08,17.35,6.88,2.57,0,0.29,27.09,0.01,14.18,10.4,24.2,0,2.57,0,0,0,0,0,0,81,1650,25,50,21,0,20,0,2,0,50,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.45,15.2,0,0.6,1.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,159,0,3,0,39,0,6,0,20,0,14,0,5,0,0,0,0,0,1,0,2,0,1,0,0,0.01,3,0,3,0,0,0,12,0.07,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.005.368,85,03,005,368,2,804,761,43,0,264,20,63,39,13,73,6,9,43,34,39,66,81,54,107,14,130,182,371,6,798,61,743,1761,1721,0,3,0,0,104,1,0,547.29,201.21,14.28,360.36,40.05,0.26,1.15,5.37,46.83,265.09,27.75,14.69,2.03,3.97,313.53,0.17,122.26,191.1,234.28,0,14.69,2.45,0,0,0,0,0,791,0,376,120,238,0,0,0,33,0,720,27,9,0,484,0,5,0,0,0,0,0,16,23,1,73,2,30,0,0,0,0,1,1,1,1,1,0,0,0,0,103.75,178.66,147.57,9.14,15.48,0,0,0,11.1,0.56,0,0,0,0.98,0.56,0,0,0.13,0,0,0,0.07,0.18,0,4.5,1,6.1,0,2.5,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,3190,0,46,0.21,484,0.12,341,0.01,536,0.07,158,0,66,0,10,0,3,0,8,0,9,0,4,0,10,0.07,112,0,38,0.2,0,0.65,578,1.85,0,0,0,0.29,100,0.43,747,0,3,0.06,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.03.006.368,85,03,006,368,2,586,544,41,0,232,5,18,9,9,80,21,13,44,18,56,29,22,30,59,4,46,139,337,2,583,39,546,1186,1229,1,3,1,0,40,1,0,313.63,103.97,38.31,247.97,33.32,0.53,2.02,5.25,41.12,177.24,27.41,0.81,0.64,0.75,206.85,1.73,146.92,58.2,180.95,0,0.81,0,0,0,0,0,0,1370,8000,229,0,226,0,2,0,40,0,520,0,2,0,431,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1.79,169.42,9.79,79.96,0,0,0,55.9,12.46,1.35,4.08,0,5.18,1.04,0.4,2.51,1.67,7.72,1.2,0,0,0,0,6.07,6.27,12.69,0,0.03,0.14,0,0.4,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.93,0,0,14.35,2722,0.39,35,2.4,417,5.57,395,1.59,187,0.43,183,1.44,59,0.07,13,0,0,0,2,0.01,4,0.01,7,0,1,1.27,58,0.27,58,0,0,3.28,669,0.08,0,0.01,4,0,0,2.67,595,0,0,0.07,40,0.01,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.52,250,0.93,272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02,2,0,3,0,0,0,0,0,0,0,0,0,0
85.03.007.072,85,03,007,072,2,676,617,60,0,77,11,10,10,4,77,8,5,69,14,98,95,156,44,42,10,182,252,190,0,676,8,668,1400,1434,0,0,0,0,22,0,0,768.17,328.93,14.49,453.73,37.26,8.9,1.42,9.53,57.11,317.15,51.26,16.37,0,11.84,396.62,0.52,132.47,246.15,326.7,0.01,16.37,0,0,0,0,0,0,708,0,125,0,307,80,2,0,37,0,219,30,2,0,267,100,0,0,9,0,0,0,0,1,5,10,2,6,0,0,0,0,0,0,2,1,0,0,0,1,0,0,311.84,315.55,0.76,56.37,0,0,0,25.15,0.22,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0.13,1.66,0,0,0,0,0,0,0.4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.08,7875,0,21,2.1,387,8.43,1086,1.02,105,0.02,154,0,18,0,7,0,6,0,2,0,2,0,2,0,1,0,71,0,44,0,0,0,440,0.09,0,0,0,0,0,0.27,184,0,1,0.22,139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
